N,P,K,temperature,humidity,ph,rainfall,label
128,23,24,37.88,50.19,6.66,76.46,cotton
66,20,136,13.24,55.04,6.03,101.59,wheat
51,90,135,30.09,53.24,7.79,65.36,cotton
82,138,45,27.61,51.84,6.12,75.36,groundnut
60,104,38,21.7,35.8,6.33,55.82,millet
17,51,150,23.62,68.52,6.97,86.12,peas
109,115,48,12.2,49.37,6.4,97.3,barley
113,129,136,21.15,60.46,6.83,74.2,maize
138,39,78,23.83,59.05,5.67,77.82,maize
135,49,173,27.83,44.01,7.73,97.32,cotton
5,110,171,17.76,57.07,6.39,55.41,wheat
74,66,47,25.8,59.47,6.98,65.15,maize
129,18,60,27.91,34.21,5.41,52.24,millet
132,64,193,28.05,51.29,6.88,103.79,maize
104,47,96,21.47,75.31,6.59,146.72,soybean
82,12,90,24.18,44.44,6.15,74.78,wheat
54,29,156,29.01,50.86,7.11,85.13,maize
120,117,151,26.85,52.22,5.99,144.42,maize
126,58,178,20.73,63.92,6.21,142.48,maize
127,125,48,29.9,70.1,6.19,150.36,sugarcane
114,98,109,22.89,67.36,6.62,98.28,soybean
63,26,85,22.12,37.92,6.61,54.46,barley
19,19,196,21.47,58.06,6.86,104.7,wheat
0,5,162,28.17,32.25,5.76,89.54,millet
61,8,37,32.61,58.29,7.2,95.89,groundnut
57,73,183,28.68,89.54,5.78,178.55,rice
17,18,97,26.25,74.79,6.19,80.93,soybean
117,23,162,19.19,56.23,7.08,107.73,peas
30,31,163,22.13,66.2,5.55,134.88,maize
77,137,50,25.92,78.86,6.0,289.74,rice
135,102,113,34.9,79.31,6.76,275.41,rice
0,116,25,33.09,88.17,5.88,159.56,rice
98,13,22,15.13,55.95,6.77,62.38,wheat
43,124,180,31.61,58.59,7.92,95.97,cotton
45,53,88,23.62,72.34,6.0,222.3,rice
25,113,83,29.77,39.2,6.59,59.24,millet
67,23,150,33.18,37.76,5.03,71.75,millet
43,79,69,20.37,45.99,6.18,85.75,wheat
110,78,88,14.8,54.08,6.19,96.51,wheat
23,127,127,26.19,62.92,6.86,50.49,groundnut
131,6,91,17.14,31.77,7.23,80.23,barley
83,82,193,22.3,43.36,7.27,71.27,barley
134,103,74,10.47,53.34,6.56,91.29,peas
89,40,197,27.67,44.71,7.27,71.26,cotton
64,110,20,25.96,54.1,5.78,57.99,cotton
133,100,65,15.8,53.94,6.74,66.67,wheat
58,133,40,25.95,88.53,6.0,278.81,rice
36,128,82,32.45,41.99,7.92,70.94,cotton
1,136,110,23.2,68.88,5.83,114.99,maize
57,91,20,11.51,43.45,6.99,61.74,wheat
8,109,53,22.54,61.14,6.4,116.16,sugarcane
81,114,194,20.5,42.35,6.78,74.57,wheat
77,21,19,28.76,64.14,7.07,103.93,maize
50,6,111,30.73,78.98,7.47,100.32,sugarcane
107,54,135,30.9,72.03,7.1,152.08,sugarcane
103,87,145,31.9,58.21,6.38,68.92,cotton
71,11,158,32.87,50.67,7.38,67.24,groundnut
37,35,84,26.51,38.16,5.47,44.22,millet
100,144,178,29.82,78.42,6.78,250.15,rice
105,78,183,18.07,49.0,6.83,71.06,barley
130,111,195,13.98,44.96,7.45,52.23,wheat
52,16,174,18.44,67.81,6.96,102.81,maize
61,13,118,34.08,47.77,6.52,64.41,cotton
4,40,31,22.34,63.54,7.19,94.44,soybean
73,55,30,15.64,59.03,6.52,110.4,wheat
136,49,33,33.01,89.09,6.94,179.78,rice
91,29,134,32.82,59.24,6.87,74.95,groundnut
21,141,120,13.71,51.1,7.33,78.28,peas
116,124,86,30.6,69.04,7.22,100.42,groundnut
67,145,166,18.94,35.05,6.18,93.27,barley
132,21,131,22.24,40.37,6.1,73.29,millet
123,93,38,17.61,67.69,6.88,103.74,peas
79,127,117,30.01,47.3,5.98,91.45,cotton
100,90,174,13.82,30.22,6.13,68.61,barley
70,19,200,19.73,53.49,5.82,111.08,maize
8,74,202,25.61,65.6,7.28,155.34,sugarcane
11,63,43,23.22,31.96,6.23,45.88,barley
57,42,44,28.07,61.88,6.66,195.65,sugarcane
100,139,19,20.41,45.59,5.57,84.58,millet
74,112,66,35.23,57.02,7.48,81.7,cotton
24,20,145,26.18,66.72,7.06,52.39,groundnut
75,76,156,12.71,64.44,6.22,73.86,peas
105,17,75,18.15,61.21,6.21,66.44,maize
53,11,159,27.62,67.1,7.39,65.33,groundnut
97,87,183,22.89,58.76,6.87,84.56,peas
100,105,157,34.28,61.13,6.22,88.74,groundnut
133,56,110,29.98,67.39,6.48,72.35,groundnut
69,131,23,20.64,74.74,6.87,164.51,rice
77,123,91,12.08,30.43,6.97,91.45,barley
31,45,98,33.57,66.37,6.49,89.26,groundnut
96,8,198,13.06,64.06,7.11,110.74,peas
59,37,115,29.68,44.84,6.12,74.92,millet
109,67,87,27.82,50.27,6.76,86.76,groundnut
68,11,150,29.24,78.94,7.26,107.29,soybean
103,20,54,27.88,89.06,6.55,254.01,rice
95,134,69,34.99,61.15,6.92,51.53,groundnut
44,120,23,20.56,40.51,6.19,108.11,wheat
82,73,67,23.53,77.64,7.35,139.64,soybean
123,99,174,29.33,56.47,7.11,102.28,maize
34,29,23,21.96,60.88,6.28,135.6,maize
75,76,122,38.02,49.01,6.76,53.69,cotton
89,107,93,19.14,63.13,7.23,97.48,peas
67,135,179,30.35,50.35,6.66,96.09,cotton
111,92,49,34.42,59.62,6.03,96.64,cotton
50,16,139,24.82,52.36,7.22,97.97,maize
13,86,104,28.87,49.91,5.93,86.76,millet
62,102,55,22.57,48.49,6.78,69.5,barley
135,93,100,25.52,45.45,5.69,79.69,cotton
27,5,114,36.65,53.08,5.73,51.05,cotton
1,96,39,32.25,44.93,5.75,91.29,cotton
84,128,29,21.95,43.26,6.08,105.21,wheat
109,123,70,26.75,67.68,6.36,142.33,soybean
40,8,167,30.17,79.45,6.63,102.85,sugarcane
57,56,74,21.18,51.85,7.05,98.54,wheat
135,76,14,33.87,41.61,6.57,77.71,cotton
3,73,16,23.76,75.37,6.06,130.03,sugarcane
8,49,24,18.73,31.21,6.96,97.47,barley
93,90,110,16.57,54.26,6.03,82.33,peas
69,34,101,10.98,45.42,6.75,64.45,wheat
69,58,78,39.88,48.14,6.88,76.52,cotton
46,90,192,23.83,86.55,6.37,278.83,rice
18,91,36,20.42,62.4,7.44,116.34,soybean
37,121,12,21.92,73.17,6.45,241.95,rice
99,36,98,16.27,54.7,7.39,111.33,peas
122,93,102,33.16,36.13,6.52,52.96,millet
25,35,53,12.0,66.77,7.17,92.5,peas
82,96,72,16.31,51.14,7.25,75.1,wheat
129,72,195,25.65,77.51,6.54,128.85,soybean
106,48,202,33.97,47.64,6.27,50.37,millet
62,132,175,21.54,64.85,5.51,108.73,maize
133,82,153,34.72,70.76,6.28,265.15,rice
81,11,64,20.89,57.89,6.94,60.04,maize
39,36,109,27.5,75.05,6.36,276.47,rice
98,62,17,26.66,69.52,6.33,112.46,soybean
48,46,62,21.65,68.91,7.5,82.46,soybean
36,48,43,12.21,37.77,6.09,50.69,barley
130,109,33,31.42,74.85,6.71,190.97,rice
79,38,20,20.83,79.08,6.15,118.31,sugarcane
81,88,203,17.58,49.18,7.37,63.77,barley
65,98,17,10.4,57.48,7.45,57.3,wheat
30,49,74,31.38,49.94,7.88,51.72,cotton
35,35,68,25.33,77.89,5.73,238.16,rice
25,77,157,34.67,43.84,6.74,51.99,cotton
108,130,120,33.79,37.09,6.43,77.12,millet
72,135,16,18.24,69.09,7.49,113.97,maize
6,142,23,23.07,65.71,7.48,100.03,sugarcane
60,141,56,23.16,56.59,5.53,66.5,maize
115,119,141,27.82,76.2,6.77,158.98,sugarcane
22,103,34,16.34,47.91,6.96,108.9,wheat
15,95,116,20.86,62.78,6.17,84.62,maize
99,139,180,28.5,74.5,6.91,172.82,sugarcane
81,134,105,23.49,54.26,7.32,110.33,wheat
84,118,172,32.02,58.54,5.9,54.48,cotton
30,65,131,10.7,69.76,6.01,96.93,peas
137,104,81,19.14,37.8,6.37,67.17,barley
83,43,80,27.14,65.55,5.84,75.38,maize
48,5,178,17.74,39.72,7.4,77.71,barley
12,81,151,35.09,51.06,5.78,74.27,cotton
53,30,64,26.91,62.99,6.06,176.67,sugarcane
22,117,81,25.13,50.24,6.8,100.44,maize
131,126,99,10.77,31.6,6.31,53.27,barley
127,91,79,22.22,83.87,7.42,186.75,sugarcane
18,59,34,30.85,31.23,6.73,76.34,millet
113,120,184,26.18,64.05,7.09,80.61,groundnut
78,68,66,23.01,31.07,6.31,73.04,barley
108,138,149,14.73,40.13,7.32,94.94,wheat
68,40,166,14.06,48.36,6.55,90.62,wheat
131,21,190,28.57,70.2,6.57,119.06,soybean
65,21,51,12.8,31.06,6.54,97.27,barley
18,48,117,28.28,74.4,6.07,181.75,rice
59,56,160,30.78,67.54,6.55,112.49,groundnut
91,54,59,33.18,36.65,6.24,60.78,millet
51,45,80,22.41,55.43,6.52,60.05,maize
69,138,62,11.93,57.53,7.06,97.48,peas
90,88,80,32.94,57.43,6.12,111.44,groundnut
42,111,18,34.49,69.26,6.84,112.98,groundnut
8,107,35,22.52,57.01,6.23,57.73,wheat
69,60,47,24.52,54.46,6.6,84.95,maize
127,118,8,33.06,63.31,7.16,77.1,groundnut
100,93,187,29.31,73.42,6.3,112.22,soybean
48,29,191,29.41,63.5,6.08,153.03,sugarcane
111,73,65,23.71,54.75,5.87,61.67,maize
117,29,37,22.97,61.37,7.41,90.19,peas
6,50,68,24.23,38.0,7.34,94.86,barley
3,126,151,20.56,60.61,6.67,140.78,soybean
134,80,50,23.05,84.79,6.24,172.3,rice
88,121,177,23.42,64.02,7.29,61.86,peas
118,93,180,24.74,68.94,7.34,116.9,maize
13,65,69,11.66,41.83,7.44,98.73,barley
88,60,66,25.79,59.96,6.87,121.09,maize
127,116,166,21.08,44.1,5.2,38.32,millet
18,105,185,22.21,52.27,6.03,103.17,maize
137,10,191,21.72,38.32,6.85,33.1,millet
10,122,67,12.81,62.07,6.37,96.1,peas
138,118,156,29.4,81.47,6.93,241.86,rice
73,131,120,23.8,61.65,5.96,73.34,maize
54,145,148,21.71,81.3,6.18,213.19,rice
92,37,17,18.65,57.68,6.97,97.54,peas
115,105,139,34.11,52.63,6.73,77.69,groundnut
1,101,159,21.62,61.64,6.06,92.49,peas
122,32,10,21.02,70.99,6.78,144.61,soybean
111,64,59,28.46,65.85,7.22,56.36,groundnut
92,115,55,25.63,61.36,7.17,90.67,groundnut
2,64,28,15.17,47.32,6.35,112.41,wheat
48,145,66,30.56,45.79,6.05,69.17,cotton
84,144,131,21.32,59.74,6.91,95.86,maize
125,140,144,23.58,49.48,6.31,98.05,barley
39,30,13,26.72,71.14,7.28,106.01,soybean
23,120,204,23.2,30.28,7.14,54.87,barley
132,31,106,24.14,40.11,6.45,95.44,barley
25,27,201,28.14,43.98,6.36,72.29,cotton
72,101,203,22.29,78.87,5.8,278.06,rice
29,19,91,28.12,77.07,7.46,120.54,soybean
104,85,92,30.45,61.42,6.75,117.1,groundnut
52,49,174,24.66,51.29,5.69,124.68,maize
103,96,143,18.7,58.34,6.07,90.6,maize
74,17,117,21.24,47.35,6.01,36.34,millet
133,128,21,32.62,88.99,6.64,172.78,rice
22,30,19,28.49,68.67,6.56,100.46,sugarcane
118,47,85,16.76,59.77,7.05,88.83,peas
132,60,187,28.97,49.24,7.93,54.46,cotton
109,95,165,31.3,39.44,5.18,47.91,millet
108,47,77,25.55,54.72,7.1,93.51,groundnut
3,61,57,18.67,52.7,6.1,91.31,peas
92,14,165,34.96,57.62,7.4,55.81,groundnut
120,11,67,22.41,53.11,7.07,132.22,maize
50,83,64,10.85,42.92,7.48,104.4,wheat
35,119,46,20.46,77.71,6.09,109.92,soybean
108,51,160,28.9,61.97,5.67,111.16,maize
11,105,61,31.02,55.82,7.21,84.96,cotton
101,65,150,19.82,53.77,6.28,69.87,wheat
138,41,108,21.7,41.5,6.74,91.53,wheat
103,78,21,13.59,58.84,6.11,72.99,peas
24,53,130,36.53,44.2,6.81,89.94,cotton
87,28,11,29.72,73.9,6.96,153.48,sugarcane
110,50,82,20.26,32.17,6.87,97.29,barley
46,7,49,24.72,78.98,6.09,128.68,soybean
33,38,102,20.29,68.29,6.42,182.84,sugarcane
106,60,57,13.59,51.82,7.32,86.36,peas
61,115,181,26.81,77.24,7.37,107.95,soybean
117,21,140,23.02,71.45,6.42,158.65,rice
95,76,184,29.28,64.76,6.68,108.36,maize
16,92,73,34.89,46.93,6.72,63.61,millet
112,20,191,28.95,73.27,6.48,147.15,soybean
15,135,157,23.89,61.49,6.87,121.62,maize
102,107,195,13.06,57.8,6.02,116.06,wheat
2,58,146,17.01,58.41,6.98,83.82,wheat
41,85,152,16.07,44.97,6.53,40.67,barley
80,29,72,28.75,78.95,6.47,148.21,soybean
39,53,79,26.77,78.09,6.66,131.07,soybean
53,43,198,26.26,63.11,7.46,158.13,sugarcane
55,48,156,33.16,77.08,6.89,290.68,rice
19,126,168,11.04,53.0,6.86,70.16,peas
9,120,152,24.41,48.66,7.11,64.02,barley
6,22,182,17.32,33.5,7.05,81.23,barley
59,54,85,15.77,47.83,7.34,62.6,wheat
66,116,188,22.48,48.38,6.22,45.03,millet
20,55,103,30.02,51.93,6.41,89.48,groundnut
81,29,146,28.34,32.85,6.66,81.04,millet
117,10,91,25.73,60.23,6.0,132.89,maize
66,12,197,23.4,66.53,6.57,89.24,soybean
44,30,101,21.03,49.61,6.29,91.58,wheat
132,106,201,32.01,55.16,7.41,111.1,groundnut
73,76,50,14.08,41.55,6.97,40.9,barley
127,65,47,16.3,62.74,7.45,104.3,peas
140,87,27,26.48,36.44,6.08,46.12,millet
52,24,66,28.6,57.21,6.29,88.86,maize
67,12,156,21.88,76.07,7.32,140.72,soybean
110,57,22,19.6,51.13,5.71,74.75,maize
49,17,9,24.25,58.34,6.15,89.13,wheat
38,145,65,28.51,38.13,6.72,74.73,millet
94,128,183,12.58,39.25,6.81,54.56,barley
25,44,157,28.76,86.23,5.8,233.44,rice
82,32,142,22.58,74.73,6.68,174.2,sugarcane
44,77,105,29.59,79.96,6.72,99.45,soybean
113,24,156,15.66,59.66,6.96,102.11,peas
49,118,41,29.96,38.62,5.21,36.35,millet
10,68,86,29.63,69.21,6.98,83.98,soybean
13,130,13,21.89,40.62,6.48,105.92,wheat
22,97,81,28.47,80.09,6.75,218.76,rice
26,46,179,19.91,44.55,6.74,97.84,wheat
70,58,137,21.14,51.75,6.36,108.24,maize
27,30,103,20.62,53.62,6.74,87.73,wheat
111,70,8,27.73,40.35,6.27,85.48,millet
33,111,140,10.32,59.6,6.64,60.72,wheat
18,71,202,18.98,55.45,5.78,117.78,maize
89,13,191,27.38,59.9,6.69,61.66,maize
25,63,98,21.42,70.92,6.75,283.45,rice
90,29,161,26.08,65.56,6.55,73.64,groundnut
58,52,47,28.01,79.09,7.14,137.47,soybean
93,72,163,14.21,43.96,7.01,79.67,wheat
76,122,174,29.35,40.66,5.97,31.94,millet
79,68,37,24.98,75.77,6.54,128.99,soybean
82,48,100,28.69,78.8,7.36,125.74,soybean
4,38,86,30.43,75.46,6.0,185.35,sugarcane
112,107,142,11.01,53.7,6.56,60.55,wheat
121,17,63,30.59,46.66,5.8,33.78,millet
30,11,174,27.58,43.23,6.52,58.16,cotton
67,73,135,11.41,57.96,6.9,60.52,wheat
40,98,146,34.85,82.44,6.36,108.49,sugarcane
25,87,68,21.06,80.87,7.42,137.47,sugarcane
21,117,57,20.64,77.91,6.34,81.96,soybean
118,61,128,32.22,81.78,7.21,181.46,sugarcane
0,95,126,22.3,59.84,5.96,83.38,maize
138,58,126,27.07,76.79,6.24,131.71,sugarcane
63,45,155,28.41,63.43,7.21,101.96,maize
43,50,128,26.19,62.58,7.37,126.97,maize
76,88,58,32.1,33.17,5.82,60.11,millet
69,66,81,28.02,52.0,6.21,116.19,maize
88,97,64,29.01,63.85,7.01,99.83,groundnut
32,10,121,28.78,67.38,6.76,89.54,groundnut
17,69,140,24.6,42.66,6.17,51.59,millet
112,136,137,18.91,58.38,6.3,123.89,maize
88,133,31,31.42,56.74,7.26,109.49,groundnut
70,45,138,28.55,48.9,7.46,75.34,cotton
135,130,139,21.21,72.08,6.31,165.83,rice
2,119,64,20.19,66.74,6.52,63.0,peas
22,16,44,30.37,53.86,6.69,81.08,groundnut
65,85,75,27.38,62.68,6.95,105.68,soybean
65,39,183,18.99,49.3,6.78,82.78,wheat
117,106,14,21.19,35.68,5.78,50.02,millet
78,69,18,31.41,81.95,6.1,171.17,rice
28,124,40,24.16,55.74,6.85,100.47,maize
38,79,9,21.55,61.67,7.24,80.74,peas
102,68,80,15.93,32.66,6.28,41.86,barley
41,81,195,20.94,46.09,7.21,65.75,barley
105,126,41,22.0,45.53,5.28,39.93,millet
27,97,99,18.51,49.5,6.25,60.2,barley
8,41,107,32.7,78.46,6.97,235.42,rice
44,48,35,36.8,45.5,6.99,80.26,cotton
125,119,107,23.08,77.41,6.9,101.83,sugarcane
7,141,113,37.55,51.4,7.44,88.14,cotton
83,133,79,25.07,48.49,6.4,84.34,millet
101,38,204,35.23,49.48,6.33,91.76,cotton
32,31,154,21.96,64.4,7.07,116.13,sugarcane
61,14,123,24.32,38.28,6.35,33.75,millet
105,58,94,24.63,81.24,6.41,138.36,sugarcane
6,86,57,23.42,64.05,6.52,134.05,soybean
42,41,103,25.35,41.8,6.89,67.71,millet
64,56,76,30.59,71.4,6.99,183.11,rice
131,100,71,22.13,68.63,6.92,149.16,sugarcane
10,131,117,32.22,72.49,6.12,184.97,rice
74,63,204,21.12,70.44,7.02,182.85,sugarcane
125,109,176,10.73,42.22,7.08,75.51,barley
140,109,173,21.04,72.41,7.24,136.36,soybean
40,83,84,22.05,76.3,6.83,97.6,soybean
59,76,37,27.47,67.6,6.9,163.56,sugarcane
79,65,170,22.65,73.03,5.62,296.11,rice
36,26,141,17.74,65.43,6.61,119.99,peas
13,119,89,28.09,46.49,8.0,93.16,cotton
107,118,64,15.98,47.88,6.63,97.79,barley
118,127,205,25.91,72.39,6.57,135.16,soybean
96,47,93,28.84,71.31,5.74,288.38,rice
15,74,36,26.12,61.28,6.61,122.89,soybean
130,17,55,25.01,65.12,6.81,64.98,groundnut
113,48,64,31.76,57.34,7.03,97.77,groundnut
104,68,142,33.47,72.86,6.37,267.62,rice
118,50,29,26.39,64.82,7.28,104.49,soybean
64,45,170,37.3,49.27,5.56,82.4,cotton
89,20,121,28.38,84.02,6.88,181.61,rice
119,85,137,27.43,70.08,6.8,128.81,soybean
46,87,87,26.29,72.09,6.52,168.66,sugarcane
134,119,7,14.16,62.99,6.01,88.47,peas
104,8,102,21.73,71.65,6.85,129.25,soybean
110,114,196,28.82,51.46,7.24,51.74,groundnut
83,100,92,27.05,65.45,6.68,51.67,groundnut
76,140,196,23.03,46.98,6.12,60.82,millet
76,88,8,34.13,36.94,5.55,50.11,millet
33,97,116,28.99,41.91,5.02,73.37,millet
108,122,176,21.84,68.83,6.62,92.46,soybean
23,73,194,16.78,56.11,7.41,50.86,wheat
51,83,159,29.39,71.39,6.64,83.38,soybean
60,40,126,12.64,30.8,7.06,87.96,barley
79,57,97,29.27,61.78,6.58,61.99,groundnut
22,144,144,28.04,81.57,7.27,144.48,sugarcane
139,74,22,17.18,64.05,7.38,79.0,peas
36,112,101,24.34,60.74,6.97,90.24,maize
83,12,161,17.29,34.84,7.25,53.82,barley
59,81,145,21.95,51.46,6.27,120.17,maize
34,127,126,22.07,59.09,6.31,95.64,wheat
100,45,76,22.84,34.01,7.45,74.1,barley
80,60,191,13.11,36.69,6.35,42.78,barley
86,75,147,11.66,52.7,6.17,99.26,peas
51,67,16,24.88,76.98,6.37,186.67,sugarcane
140,93,163,34.65,51.66,6.42,83.68,groundnut
91,18,123,23.35,33.29,6.0,32.89,millet
30,53,151,29.78,47.99,6.99,34.26,millet
87,132,66,18.26,38.97,7.34,56.05,barley
